Model Number,Hidden Size,Learning Rate,Epochs,Test F1-Score
1,64,0.001,5,0.9
1,64,0.001,10,0.9
1,64,0.001,15,0.9
1,64,0.001,20,0.9
2,128,0.001,5,0.9
2,128,0.001,10,0.9
2,128,0.001,15,0.9
2,128,0.001,20,0.9
3,256,0.001,5,0.9
3,256,0.001,10,0.9
3,256,0.001,15,0.9
3,256,0.001,20,0.9
4,64,0.0005,5,0.9
4,64,0.0005,10,0.9523809523809523
4,64,0.0005,15,0.9
4,64,0.0005,20,0.9
5,128,0.0005,5,0.9
5,128,0.0005,10,0.9
5,128,0.0005,15,0.9
5,128,0.0005,20,0.9
6,256,0.0005,5,0.9
6,256,0.0005,10,0.9
6,256,0.0005,15,0.9
6,256,0.0005,20,0.9
7,64,0.0001,5,0.9
7,64,0.0001,10,0.9
7,64,0.0001,15,0.9
7,64,0.0001,20,0.9523809523809523
8,128,0.0001,5,0.9523809523809523
8,128,0.0001,10,0.9
8,128,0.0001,15,0.9
8,128,0.0001,20,0.9
9,256,0.0001,5,0.9
9,256,0.0001,10,0.9
9,256,0.0001,15,0.9
9,256,0.0001,20,0.9
